#Question|Class|WH|WH-Bigram|WH-POS|WH-NBOR-POS
How much did the juvenile violent crime rate rise or fall between 1993 and 1997?|P|How|How much|WRB|RB
Which Superior Court judge in Mercer, Middlesex, Somerset and Hunterdon counties had the most decisions overturned on appeal in 1998?|P|Which|Which Superior|WDT|NNP
How many Americans are bitten each year by dogs?|A|How|How many|WRB|JJ
What percentage of the 41,000 Americans killed in motor vehicle accidents in 1997 were male? |C|What|What percentage|WP|NN
What percentage of Web users don't receive at least one spam e-mail message a week? |C|What|What percentage|WP|NN
What is the maximum amount of damages you can recover in Small Claims Court in New Jersey?|M|What|What is|WP|VBZ
What is New York City's most prestigious coop apartment building? |X|What|What is|WP|VBZ
Which was the most popular college choice among students from Princeton Day School, Class of 1999? |O|Which|Which was|WDT|VBD
How many registered Internet domain names are there worldwide? |A|How|How many|WRB|JJ
What percentage of Princeton High graduates will be attending Ivy League schools in the fall? |C|What|What percentage|WP|NN
How many people are victimized by landmines each year? |A|How|How many|WRB|JJ
Which is the most common reportable, communicable disease in New Jersey? |X|Which|Which is|WDT|VBZ
Rutgers is the most popular college choice among this year's graduates at West Windsor-Plainsboro High School. Which college is the runnerup? |O||||
How many nuclear weapons are there in the world today?|A|How|How many|WRB|JJ
What will the annual tuition be for New Jersey students attending Rutgers in 1999-2000? |M|What|What will|WP|MD
How much does the average black American spend annually on lottery tickets? |M|How|How much|WRB|JJ
When did New Jersey public television first go on the air? |T|When|When did|WRB|VBD
What percentage of donations to colleges and universities comes from alumni? |C|What|What percentage|WP|NN
Which nation's government is considered the least corrupt in the world? |L|Which|Which nation|WDT|NN
What percentage of Major League baseball players are from the Caribbean or Latin America? |C|What|What percentage|WP|NN
Which college will enroll the most students from The Lawrenceville School's Class of 1999 this fall?|O|Which|Which college|WDT|NN
What percentage of federal prisoners are incarcerated for non-violent drug offenses?|C|What|What percentage|WP|NN
Which state has the highest per-pupil expenditure for public schools?|L|Which|Which state|WDT|NN
Which national Internet news site has the largest audience share? |X|Which|Which national|WDT|JJ
What is the official New Jersey state shell? |X|What|What is|WP|VBZ
How many state police patrol the N.J. Turnpike? |A|How|How many|WRB|JJ
Which living philanthropist has given the most money to charitable causes?|P|Which|Which living|WDT|NN
Just days before Bill Bradley entered Princeton University as a freshman, he had intended to enroll at which university?|O||||
What was the most frequently diagnosed and/or treated cancer at the Hunterdon Medical Center in 1997?|X|What|What was|WP|VBD
What percentage of Americans think their financial situation is the same or better than it was last year?|C|What|What percentage|WP|NN
Which popular music act's single had the most radio air play in 1980? |X|Which|Which popular|WDT|JJ
How many casualties were there in the Battle of Verdun during World War I? |A|How|How many|WRB|JJ
How many nations have been bombed by the U.S. military in the past eight months?|A|How|How many|WRB|JJ
Which country is projected to have the largest population in the year 2030? |L|Which|Which country|WDT|NN
What is the hottest temperature ever recorded in May in New Brunswick?|A|What|What is|WP|VBZ
For a family of four in New Jersey, what is the maximum amount of income that is exempt from the state income tax?|M||||
What is the median age at the time of marriage for grooms in New Jersey? |Y|What|What is|WP|VBZ
Which casino in Atlantic City generated the most gambling revenue during the past year? |X|Which|Which casino|WDT|NN
Which is the youngest county in New Jersey? |L|Which|Which is|WDT|VBZ
Which state has the strictest disclosure laws for legislators? |L|Which|Which state|WDT|NN
What is the world's busiest airport, measured by number of passengers?|X|What|What is|WP|VBZ
Which golf resort was rated best in the world by Conde Nast Traveler readers? |X|Which|Which golf|WDT|NN
Which state had the highest rate of bankruptcy filings last year? |L|Which|Which state|WDT|NN
What is the New Jersey state insect?|X|What|What is|WP|VBZ
What is the annual cost of membership to the Ivy Club, an eating club at Princeton University? |M|What|What is|WP|VBZ
Which town in America has the most expensive housing? |L|Which|Which town|WDT|NN
Which country has the highest per-capita Internet usage? |L|Which|Which country|WDT|NN
What was the top renting video of 1998? |W|What|What was|WP|VBD
What is the most popular major among Princeton University sophomores?|X|What|What is|WP|VBZ
What percentage of the world's nations have a free press?|C|What|What percentage|WP|NN
In 1996, 9,390 Americans were murdered with handguns. How many Canadians were killed with firearms in that same year?|A||||
What percentage of stocks and mutual funds is owned by the wealthiest 10 percent of households?|C|What|What percentage|WP|NN
Which U.S. president officially proclaimed Mother's Day a national holiday? |P|Which|Which U.S.|WDT|NNP
What was the largest one-year return on a stock mutual fund during the past year? |M|What|What was|WP|VBD
How many New Jersey residents have been diagnosed with HIV/AIDS? |A|How|How many|WRB|JJ
How many countries in which citizens are not allowed to choose their leaders democratically received arms shipments from the U.S. government in 1997?|A|How|How many|WRB|JJ
What is the cost to airlines of the average food serving on a domestic flight?|M|What|What is|WP|VBZ
Which county in New Jersey has the smallest land area?|L|Which|Which county|WDT|NN
What percentage of the members of the Princeton University class of 2002 were recruited athletes? |C|What|What percentage|WP|NN
Among female retirees, what percentage of their income comes from personal savings? |C||||
In which year was the homicide rate in the United States the highest?|T||||
How many men from Mercer County lost their lives in the Vietnam War?|A|How|How many|WRB|JJ
What percentage of daily newspaper readers in New Jersey read newspapers owned by either Gannett or Newhouse (Advance Publications)?|C|What|What percentage|WP|NN
How much will season tickets cost for the Princeton University football team's six home games this fall?|M|How|How much|WRB|RB
In 1990, 931,000 sport utility vans were sold in the United States. How many were sold last year?|A||||
What percentage of U.S. households are online? |C|What|What percentage|WP|NN
What is the average salary of a full professor at Princeton University? |M|What|What is|WP|VBZ
What are the odds of a child being killed by gun violence at school?|C|What|What are|WP|VBP
"On average, about how often is the air quality in New Jersey deemed ""unhealthy"" by the state Department of Environmental Protection?"|C||||
"Which restaurant was rated the top ""eclectic"" in New Jersey by Zagat?"|O|Which|Which restaurant|WDT|NN
When was the last time an American won the men's race in the Boston Marathon?|T|When|When was|WRB|VBD
How many Americans have smoked marijuana at some point in their lives?|A|How|How many|WRB|JJ
How many interchanges are there on the New Jersey Turnpike? |A|How|How many|WRB|JJ
What is the most densely populated county in New Jersey. |L|What|What is|WP|VBZ
What was the average starting salary for 1998 Princeton University graduates? |M|What|What was|WP|VBD
What is the most popular name for boys in New Jersey? |P|What|What is|WP|VBZ
What was the average pay for CEOs at 365 of the largest companies in the nation last year?|M|What|What was|WP|VBD
Which New Jersey county had the fewest fatal auto accidents in 1997?|L|Which|Which New|WDT|NNP
What is the record for most rain in a single spring day in New Brunswick?|D|What|What is|WP|VBZ
What percentage of voters in the top income quintile voted in the 1998 Congressional elections?|C|What|What percentage|WP|NN
What percentage of applicants who are accepted at Princeton University end up enrolling there?|C|What|What percentage|WP|NN
What percentage of males with college degrees work more than 50 hours a week?|C|What|What percentage|WP|NN
In which of the IRS's 33 districts are the odds of someone with a total income of more than $100,000 a year being audited the lowest?|L||||
What percentage of persons entering U.S. prisons and jails have been sentenced for non-violent crimes?|C|What|What percentage|WP|NN
What is the earliest date in the year Easter has been celebrated during the past century? |T|What|What is|WP|VBZ
Which school district in Mercer County has the highest median teacher salary? |L|Which|Which school|WDT|NN
"Which college was rated ""Most Wired"" by Yahoo! magazine?"|O|Which|Which college|WDT|NN
How much are jurors paid for each day of service? |M|How|How much|WRB|JJ
What percentage of radio stations in the U.S. have had a change in ownership during the past three years? |C|What|What percentage|WP|NN
What was the average car insurance bill for New Jersey drivers in 1997? |M|What|What was|WP|VBD
"Which company fared best in Business Week's 1999 ""Performance Rankings""? "|O|Which|Which company|WDT|NN
About how many years did it take for New Jersey's population to double from 4 million to approximately 8 million today? |R||||
How much did total spending in municipal elections in New Jersey increase or decrease between 1990 and 1997? |M|How|How much|WRB|RB
In how many different languages is the written driving test for a New Jersey license available? |A||||
What country is Kosovo's neighbor to the south?|L|What|What country|WP|NN
How many stocks were included in the original Dow Jones industrial average?|A|How|How many|WRB|JJ
What percentage of the revenue derived from the federal personal income tax in 1997 was paid by the wealthiest 1.5 percent of taxpayers? |C|What|What percentage|WP|NN
Which New Jersey high school had the highest composite, top-quartile SAT score in 1997-98?|O|Which|Which New|WDT|NNP
What percentage of published studies about new drugs that are financially supported by the pharmaceutical industry comment favorably on the drug?|C|What|What percentage|WP|NN
Today marks the first day of spring, the vernal equinox. What is an equinox?|F||||
What is the architectural style of the home Albert Einstein once lived in at 112 Mercer St., Princeton? |X|What|What is|WP|VBZ
"Which make of automobile has the most models included on Consumer Reports' ""Used Cars To Avoid"" list?"|X|Which|Which make|WDT|NN
Where was St. Patrick born?|L|Where|Where was|WRB|VBD
What is the March single-day record for most snowfall in New Brunswick?|D|What|What is|WP|VBZ
What percentage of households making under $10,000 a year have credit cards?|C|What|What percentage|WP|NN
What is the Princeton basketball team's all-time winning percentage against N.C. State, its opponent in Monday night's NIT game? |C|What|What is|WP|VBZ
What was the fastest-growing county in New Jersey between July 1997 and July 1998? |L|What|What was|WP|VBD
Which school district in Mercer County has the highest per-pupil costs?|L|Which|Which school|WDT|NN
Which hospital in New Jersey performed the most coronary artery bypass operations in 1996-97?|O|Which|Which hospital|WDT|NN
Adjusted for inflation, how much has the average salary of a college professor risen or fallen during the past 25 years? |M||||
What is the record low temperature for a March day in New Brunswick? |A|What|What is|WP|VBZ
What percentage of students polled at Princeton High School said they had never cheated on a test or quiz?|C|What|What percentage|WP|NN
Which county in New Jersey has the highest cancer rates? |L|Which|Which county|WDT|NN
Which state attracts the most overseas visitors? |L|Which|Which state|WDT|NN
Which school district had the highest HSPT scores in New Jersey in 1997-98?|L|Which|Which school|WDT|NN
What is the annual salary of a major in the Army with 12 years of service? |M|What|What is|WP|VBZ
What percentage of students at Penn and Columbia are either Asian or Jewish? |C|What|What percentage|WP|NN
Which of the following reportable diseases was most common in New Jersey in 1997? |X|Which|Which of|WDT|IN
Bill Gates' net worth is equal to that of the combined total of how many Americans? |A||||
Which school has had the most individual Ivy League basketball scoring champions over the past three decades? |O|Which|Which school|WDT|NN
What sport results in the most emergency room visits? |X|What|What sport|WP|NN
What percentage of incumbents for U.S. House seats won re-election last fall? |C|What|What percentage|WP|NN
Which is the nation's wealthiest foundation?|O|Which|Which is|WDT|VBZ
What percentage of U.S. households own their own home?|C|What|What percentage|WP|NN
In what year was the first eating club built at Princeton University?|T||||
What percentage of women report having had sexual relations with a person other than their spouse, while married?|C|What|What percentage|WP|NN
Which county in New Jersey has the most horses?|L|Which|Which county|WDT|NN
How many police officers in New Jersey have been killed in the line of duty over the past 10 years?|A|How|How many|WRB|JJ
On average, women spend 15.6 hours per week on housework. How many hours do men devote to housework? |R||||
What percentage of 1997 female high school graduates enrolled in college? |C|What|What percentage|WP|NN
What is the record high temperature for a February day in New Brunswick?|A|What|What is|WP|VBZ
How did St. Valentine, the holiday's namesake, die? |X|How|How did|WRB|VBD
In 1996, the net worth of Gordon Wu, a Princeton alumnus who pledged a donation of $100 million to the university a few years ago, was $1.2 billion. What is his net worth today? |M||||
A study by a psychology student found that 30 percent of couples on the Princeton University campus were interracial. What percentage of those relationships involved whites and blacks? |C||||
Which New Jersey daily newspaper lost the most circulation, in percentage terms, between 1990 and 1998? |X|Which|Which New|WDT|NNP
What percentage of the state's HMO market will Aetna U.S. Healthcare control if the Justice Department approves its purchase of Prudential Healthcare? |C|What|What percentage|WP|NN
Which bank has the most branches in New Jersey? |O|Which|Which bank|WDT|NN
Other than gym, what class do Princeton High School students cut most often? |X||||
How many U.S. stocks lost value in 1998? |A|How|How many|WRB|JJ
Which New Jersey high school had the highest combined SAT scores in 1997-98? |O|Which|Which New|WDT|NNP
Which Ivy League team has gone the longest without beating Princeton in basketball? |O|Which|Which Ivy|WDT|NNP
What percentage of milk and dairy products consumed in New Jersey is produced by New Jersey farmers? |C|What|What percentage|WP|NN
Which U.S. air carrier had the lowest rate of consumer complaints lodged against it in 1998?|O|Which|Which U.S.|WDT|NNP
What portion of the 10 percent federal tax cut proposed by Republicans would go to the wealthiest 10 percent of taxpayers? |C|What|What portion|WP|NN
How many domestic violence offenses were committed in New Jersey in 1997 by persons who had court restraining orders issued against them? |A|How|How many|WRB|JJ
How many rail stations does NJ Transit operate? |A|How|How many|WRB|JJ
Which Ivy League school charges the most for tuition and room and board? |O|Which|Which Ivy|WDT|NNP
What is the error rate of paper tax returns submitted to the IRS? |C|What|What is|WP|VBZ
Where did Richard Stockton, the founder of the Stockton family in America, first settle after leaving England? |L|Where|Where did|WRB|VBD
Which brand of big-screen TV (31-36 inch) has the worst repair history?|O|Which|Which brand|WDT|NN
How much money could you save each year if you carpooled to work, rather than driving alone, based on a 40-mile, round-trip daily commute and a car that gets 25 mpg?|M|How|How much|WRB|JJ
How much did the average, inflation-adjusted earnings of the bottom fifth of male workers increase or decrease between 1979 and 1996?|M|How|How much|WRB|RB
When was the last time the Princeton University men's ice hockey team won the Ivy League title?|T|When|When was|WRB|VBD
What is the primary design element on the Princeton University Senior Jacket Committee's choice for the Class of '99 jacket?|X|What|What is|WP|VBZ
Who was the first popularly elected governor in New Jersey?|P|Who|Who was|WP|VBD
What's the single-game Ivy League record for rebounding by one player?|A|What|What 's|WP|VBZ
What percentage of college students reported engaging in binge drinking - consuming at least four drinks in a row - at least once during the two-week period prior to being surveyed?|C|What|What percentage|WP|NN
In what year was Alexander Hall on the Princeton University campus completed?|T||||
"How many municipalities are named ""Washington"" in New Jersey? "|A|How|How many|WRB|JJ
How many people have active real estate licenses in New Jersey? |A|How|How many|WRB|JJ
How many millionaires were there in New Jersey in 1996? |A|How|How many|WRB|JJ
In what year did McCarter officially become an independent theater? |T||||
How many times greater is the pay of the average CEO than that of the average worker? |A|How|How many|WRB|JJ
What percentage of women in New Jersey 40 years and over have never had a mammogram? |C|What|What percentage|WP|NN
What was the last Ivy League team other than Penn to beat Princeton in basketball? |O|What|What was|WP|VBD
Which automobile moving violation in New Jersey carries the most points?|X|Which|Which automobile|WDT|NN
"How many of the dozen people on the New Jersey State Police ""12 Most Wanted"" list are women?"|A|How|How many|WRB|JJ
What percentage of candidates passed the New Jersey State Bar Exam in July 1998?|C|What|What percentage|WP|NN
Which stock had the best year in 1998?|X|Which|Which stock|WDT|NN
What is the largest amount of snow that has fallen in a single day in January in central Jersey?|D|What|What is|WP|VBZ
New Jersey's 566 municipalities are, on average, the smallest in the nation. Which state ranks second?|L||||
How much did holiday-season retail sales increase this year over last in New Jersey?|M|How|How much|WRB|JJ
What percentage of drunken drivers involved in fatal accidents are chronic, problem drinkers?|C|What|What percentage|WP|NN
What was the top grossing movie of 1998? |W|What|What was|WP|VBD
How many states have a lower blood alcohol level standard for drunken driving than New Jersey?|A|How|How many|WRB|JJ
When is the last time the Princeton University men's basketball team lost three games in arow?|T|When|When is|WRB|VBZ
What is the lowest rent for an apartment listed in an apartment shopper's guide for Mercer, Middlesex and Somerset counties?|M|What|What is|WP|VBZ
Who was the original owner of Prospect House on the Princeton University campus?|P|Who|Who was|WP|VBD
What are the names of the Three Kings?|P|What|What are|WP|VBP
Which popular Christmas song was actually written for Thanksgiving?|W|Which|Which popular|WDT|JJ
What was the original name of the Hun School? |X|What|What was|WP|VBD
What are the odds of snow falling on Christmas Day in central Jersey?|X|What|What are|WP|VBP
In 1996, what percentage of teen-age girls with a baby had a second child? |C||||
What is Gov. Christie Whitman's salary this year? |M|What|What is|WP|VBZ
Which homeowners insurance company received the highest rating from subscribers to Consumer Reports? |O|Which|Which homeowners|WDT|NNS
In what year during the past 25 were the most murders committed in New Jersey? |T||||
Which war involved the largest number of American troops? |X|Which|Which war|WDT|NN
What is the earliest in the season that more than a half inch of snow has fallen in New Brunswick?|X|What|What is|WP|VBZ
Who was the largest contributor to the campaign of Carl Mayer of Princeton Township in the recent 6th District Congressional race?|P|Who|Who was|WP|VBD
What percentage of foreign students enrolled in U.S. colleges and universities are from Asia?|C|What|What percentage|WP|NN
What percentage of the newly created jobs in New Jersey pay less than a living wage, defined as $37,931 for a family of four?|C|What|What percentage|WP|NN
What is the fewest points the Princeton University basketball team has allowed an opponent in a game since World War II?|A|What|What is|WP|VBZ
How many days was the N.J. State Senate in session last year? |A|How|How many|WRB|JJ
How many Nike T-shirts does the average worker produce at the plant in San Bartolo, El Salvador, each day?|A|How|How many|WRB|JJ
What is the shortest interval this year in which the same Pick-3 lottery number won?|R|What|What is|WP|VBZ
Which restaurant listed in the 1998 Zagat survey received the lowest rating for decor?|O|Which|Which restaurant|WDT|NN
How many years this century have the Democrats controlled both houses of the state Legislature? |A|How|How many|WRB|JJ
What is the U.S. record, in inches, for most snowfall in a single storm?|D|What|What is|WP|VBZ
What is the Princeton University basketball record for widest margin of victory in a game? |A|What|What is|WP|VBZ
What was the population of U.S. prisons and jails in 1996? |A|What|What was|WP|VBD
When was Princeton Golf Club, later renamed Springdale Golf Club, formed? |T|When|When was|WRB|VBD
What percentage of officers at the largest corporations are women? |C|What|What percentage|WP|NN
How many flights were there last year at Newark Airport? |A|How|How many|WRB|JJ
What percentage of motorists searched by the Maryland State Police on I-95 in 1996 were black? |C|What|What percentage|WP|NN
How many snowstorms is the Farmer's Almanac predicting for this winter in New Jersey? |A|How|How many|WRB|JJ
When is the last time the Princeton University basketball team lost to Monmouth University, its opponent on Saturday night? |T|When|When is|WRB|VBZ
Under what president did Thanksgiving begin to be celebrated the last Thursday of November?|P||||
What percentage of graduates of the Princeton University Class of 1928 reported taking jobs in business soon after getting their degree?|C|What|What percentage|WP|NN
Who was the Baby Ruth candy bar named after?|P|Who|Who was|WP|VBD
Which age group in the U.S. has the highest suicide rate? |Y|Which|Which age|WDT|NN
Which rock 'n' roll act organized the first Horde Festival eights years ago. |O|Which|Which rock|WDT|NN
Since 1971, how many members of Congress have been convicted of crimes and gone to prison?|A||||
When is the last time Lafayette, the Princeton University basketball team's opponent in tonight's season opener, lost to the Tigers by less than 15 points?|T|When|When is|WRB|VBZ
Which New Jersey restaurant received the highest rating for service in the 1999 Zagat Survey?|O|Which|Which New|WDT|NNP
Which major U.S. air carrier received the most complaints about mishandled baggage during the first nine months of this year?|O|Which|Which major|WDT|JJ
What was the largest fine meted out by the state to a nursing home in New Jersey for violation of health regulations during the first six months of this year?|M|What|What was|WP|VBD
How many times during the past 30 years has any team other than Princeton or Penn won the Ivy League basketball title?|A|How|How many|WRB|JJ
In 1976, the richest 10 percent of Americans owned 19 percent of U.S. assets. What percentage did the richest 10 percent own in 1996?|C||||
Which of the 1997, four-door sedans has the highest trade-in value at 15,000 miles?|X|Which|Which of|WDT|IN
How many degrees separated the average weekly temperature at the New Jersey weather monitoring stations reporting the highest and the lowest averages?|A|How|How many|WRB|JJ
Which county in New Jersey had the lowest estimated unemployment rate in September?|L|Which|Which county|WDT|NN
What percentage of reported auto thefts in New Jersey result in arrests?|C|What|What percentage|WP|NN
Which Ivy League team has won the most championships in football? |O|Which|Which Ivy|WDT|NNP
Which category has the most listings in the Yellow Pages of the Princeton-Suburban Trenton phone book? |X|Which|Which category|WDT|NN
Which national chain of department stores received the highest overall rating from readers of Consumer Reports? |O|Which|Which national|WDT|JJ
Of 163 countries surveyed, where did the U.S. rank in voter turnout in national legislative elections?|A||||
Who holds the record for receiving the highest percentage of total votes cast in a New Jersey gubernatorial election?|P|Who|Who holds|WP|VBZ
Which county in New Jersey had the lowest rate of assaults on police officers last year?|L|Which|Which county|WDT|NN
Which Ivy League school has gone the longest without winning a championship in football?|O|Which|Which Ivy|WDT|NNP
What was the lowest voter turnout for an election in Princeton Borough during the past 20 years? |C|What|What was|WP|VBD
How much did Princeton University President Harold Shapiro earn in salary and benefits in 1996-97?|M|How|How much|WRB|RB
During the past few 50 years, there have been 10 state referendum questions asking voters to approve the sale of bonds for the acquisition of farmland and open space. How many times have the questions been defeated? |A||||
What percentage of families in New Jersey have three children or more under the age of 18?|C|What|What percentage|WP|NN
What is New Jersey's state tree?|X|What|What is|WP|VBZ
In what year was the Ivy League founded? |T||||
How many acres of farmland in New Jersey were abandoned last year due to crop damage caused by deer? |A|How|How many|WRB|JJ
What percentage of Princeton High School students worked during the summer?|C|What|What percentage|WP|NN
What percentage of respondents to a PC Magazine Online poll said they typically begin their Web searches at either Yahoo! or Alta Vista?|C|What|What percentage|WP|NN
What percentage of registered voters in the 12th Congressional District are Republicans?|C|What|What percentage|WP|NN
Which stock has performed the best during the past 12 months?|O|Which|Which stock|WDT|NN
The federal minimum wage, $5.15 an hour, totals $10,712 a year. What is the poverty line for a family of three? |M||||
How many touchdown passes did former Princeton University quarterback Jason Garrett, now with the Dallas Cowboys, throw in his best year at Princeton?|A|How|How many|WRB|JJ
What percentage of Americans visited a library at least once last year?|C|What|What percentage|WP|NN
Which state has the highest incidence of Lyme Disease?|L|Which|Which state|WDT|NN
How much has the monetary amount of the Nobel Prize increased over the past 10 years?|M|How|How much|WRB|JJ
"Who said the following: ""Few are those who see with their own eyes and feel with their own hearts."""|P|Who|Who said|WP|VBD
What was the median annual pay package for 1998 M.B.A. graduates from the top 25 business schools?|M|What|What was|WP|VBD
Who made the largest-ever single donation of land to Princeton University?|P|Who|Who made|WP|VBD
What is the Princeton University football team record for most consecutive games without a loss at home? |A|What|What is|WP|VBZ
Princeton University freshman Kush Parmar is one of two Advanced Placement scholars invited to address an audience of educators next month in Orlando. On how many A.P. exams did he receive perfect scores? |A||||
What is the average monthly rent for a two-bedroom apartment in Middlesex, Somerset and Hunterdon counties?|M|What|What is|WP|VBZ
Name one of the top five contributors to Rep. Mike Pappas' re-election campaign?|P||||
How many coffee trees are required to accommodate someone who drinks two cups of coffee a day for a year?|A|How|How many|WRB|JJ
How much has the value of Merrill Lynch stock fallen since its high in mid-July?|M|How|How much|WRB|JJ
What percentage of small businesses offers health care benefits to employees?|C|What|What percentage|WP|NN
During the past three decades, how many years have Republicans controlled the state Assembly in New Jersey?|R||||
How many years has Newark Airport been in operation? |A|How|How many|WRB|JJ
Which restaurant received the lowest rating for food in the 1998 Zagat Survey for New Jersey? |O|Which|Which restaurant|WDT|NN
What percentage of consumer spending does the most affluent 20 percent of nations account for?|C|What|What percentage|WP|NN
In the Michelin Green Guide for New York, New Jersey and Pennsylvania, just one featured town in New Jersey, Cape May, received three stars. What was the only town to receive two stars?|L||||
Which category of crime had the largest increase in arrests during the past decade in New Jersey?|X|Which|Which category|WDT|NN
Which elective offices had the largest increase in campaign spending in New Jersey over the past decade? |X|Which|Which elective|WDT|JJ
What percentage of clothing apparel sold in Wal-Mart stores is made in the United States? |C|What|What percentage|WP|NN
Which medical specialty has the most listings in the Yellow Pages of the phone book?|X|Which|Which medical|WDT|JJ
What age group accounted for the most fatal auto accidents in New Jersey last year?|Y|What|What age|WP|NN
What is the Ivy League record for most points scored by one team in a game? |A|What|What is|WP|VBZ
A statewide apartment hunters' guide lists about 170 complexes. In what town is the most expensive 1-bedroom apartment listed in the guide located?|L||||
Which fast food sandwich has the most grams of fat?|X|Which|Which fast|WDT|VBD
How tall is the shortest 300-pound-plus football player in the Ivy League?|D|How|How tall|WRB|NN
Which of the public high schools ranked among the top 25 in the state by New Jersey Monthly magazine had the largest graduating class? |O|Which|Which of|WDT|IN
What percentage of male managers and supervisors work 46 hours a week or longer?|C|What|What percentage|WP|NN
Which county in New Jersey has the least amount of surface water, measured in square miles?|L|Which|Which county|WDT|NN
"Which company in New Jersey was called ""best for minorities"" by Fortune magazine?"|O|Which|Which company|WDT|NN
Which Ivy League school pays its full professors the most?  |O|Which|Which Ivy|WDT|NNP
Which writers have lived on College Road in Princeton?|P|Which|Which writers|WDT|NNS
Median household income in the U.S. rose 6.3 percent between 1969 and 1996. How much did it increase for households above the median? |C||||
What is the record for most rainfall in a single day in New Brunswick? |D|What|What is|WP|VBZ
How many states have a higher cancer mortality rate than New Jersey?|A|How|How many|WRB|JJ
During the past 10 years, 28 statewide referendum questions have appeared on the ballot. How many have been approved? |A||||
How much has crime risen, or fallen, in New Jersey's six largest cities over the past decade?|C|How|How much|WRB|JJ
Which airport had the highest percentage of delayed arriving flights in July?|O|Which|Which airport|WDT|NN
Which noted personality did NOT graduate from a high school in Mercer, Somerset or Middlesex County?|P|Which|Which noted|WDT|VBD
What is the fastest scheduled time for a NJ Transit train from Princeton Junction to Penn Station in New York?|R|What|What is|WP|VBZ
Which of the company best weathered last week's stock market slide?|O|Which|Which of|WDT|IN
Which state college in New Jersey had the largest percentage increase in tuition during the past 10 years?|O|Which|Which state|WDT|NN
Which member of Congress from New Jersey received the lowest marks on the Public Interest Research Group's (PIRG) 1998 Report Card? |P|Which|Which member|WDT|NN
The Princeton University football team has played its three non-conference opponents for the upcoming season - Lehigh, Lafayette and Fordham - a total of 86 times. How many of those games has Princeton lost? |A||||
Which shopping mall in New Jersey has the most stores? |O|Which|Which shopping|WDT|VBG
A state road sign on Nassau Street (Route 27), Princeton, lists three towns and the distances in miles to each of them. Two of the towns are Newark and New Brunswick. What is the third?|L||||
What percentage of employers disclose 401(k) investment or administrative fees to their participants?|C|What|What percentage|WP|NN
What was Witherspoon Street in Princeton called in the early years of the 19th century?|X|What|What was|WP|VBD
Which town in Mercer County had the highest average commuting time of residents in the last Census?|L|Which|Which town|WDT|NN
Which Ivy League school did not make this year's U.S. News & World Report's Top 10 list of best universities in the nation? |O|Which|Which Ivy|WDT|NNP
How much did tobacco heiress Doris Duke of Hillsborough bequeath her dog Minni?|M|How|How much|WRB|RB
Which is the final entry in the white page listings of the Princeton-Suburban Trenton phonebook?|X|Which|Which is|WDT|VBZ
Which town in Mercer County had the most reported bias crimes last year?|L|Which|Which town|WDT|NN
Which U.S. town has the highest elevation? |L|Which|Which U.S.|WDT|NNP
Which was the first of the Princeton University eating clubs to take up residence on Prospect Avenue?|O|Which|Which was|WDT|VBD
What is the state motto of New Jersey?|X|What|What is|WP|VBZ
What is the cost of a season ticket for the five Princeton University home football games this fall? |M|What|What is|WP|VBZ
Which Princeton restaurant had the most improved ratings in the 1999 Zagat Survey? |O|Which|Which Princeton|WDT|NNP
Which county in New Jersey releases the most toxic chemicals into the air, water and land? |L|Which|Which county|WDT|NN
What town in Mercer County has the largest percentage of residents more than 65 years of age?|L|What|What town|WP|NN
Which book did Nobel Prize-winner Thomas Mann complete during his 2 1/2 years in Princeton?|W|Which|Which book|WDT|NN
If the No. 600 NJ Transit bus is running on schedule, how long does it take to get from Forrestal Village in Plainsboro to the Trenton Rail Station if it leaves at 3:15 p.m.?|R||||
How often is the Princeton Alumni Weekly published? |R|How|How often|WRB|RB
Who was the first governor to occupy Morven in Princeton under state ownership?|P|Who|Who was|WP|VBD
Which town has the least amount of annual rainfall in New Jersey?|L|Which|Which town|WDT|NN
Which municipality in Mercer County had the fewest number of reported domestic violence incidents in 1996?|L|Which|Which municipality|WDT|NN
How did June Fletcher, Princeton University Class of 1973, gain national prominence?|X|How|How did|WRB|VBD
Which was the fastest-growing town in Mercer County between 1970 and 1994?|L|Which|Which was|WDT|VBD
"What percentage of women responding to a Harris Poll question about the fairness of divorce property settlements responded, ""I received too much."""|C|What|What percentage|WP|NN
"What is the English translation of Princeton University's motto: ""Dei Sub Numine Viget""?"|X|What|What is|WP|VBZ
Who persuaded Andrew Carnegie to finance the construction of a dam needed to create the 3.5-mile-long Carnegie Lake.|P|Who|Who persuaded|WP|VBD
Which region of the country has the highest gas prices?|L|Which|Which region|WDT|NN
What's the difference in annual principal and interest between a 7 percent, 30-year, $100,000 fixed rate mortgage and an 8 percent mortgage of the same term and amount?|M|What|What 's|WP|VBZ
During the 1990s, what percentage of all significant new drugs approved by the federal Food and Drug Administration have come from New Jersey?|C||||
Where did Albert Einstein live in Princeton prior to moving to 112 Mercer St.?|L|Where|Where did|WRB|VBD
Prior to the completion of Nassau Hall in Princeton in 1756, the trustees of the college had voted to name it after which person?|P||||
Which colleges and universities in New Jersey has the lowest percentage of females enrolled?|O|Which|Which colleges|WDT|NNS
What is the leading cause of death in the 25-44 year-old age group in New Jersey?|X|What|What is|WP|VBZ
What is the longest public golf course in New Jersey?|O|What|What is|WP|VBZ
